trained_rounds,distance,rounds,x_ler,x_mwpm,z_ler,z_mwpm,avg_ler,avg_mwpm
25,3,3,0.014999999664723873,0.016,0.013500000350177288,0.0173,0.01425,0.01665
25,3,5,0.029999999329447746,0.0346,0.030999999,0.0256,0.030499999,0.0301
25,3,7,0.043000001,0.0426,0.029999999329447746,0.0347,0.0365,0.03865
25,3,9,0.040525001,0.0503,0.038954999297857285,0.0431,0.03974,0.0467
25,3,11,0.059500001,0.0673,0.048999999,0.0563,0.05425,0.0618
25,3,13,0.052000001072883606,0.0739,0.0535,0.0611,0.052750001,0.0675
25,3,15,0.064000003,0.0849,0.060499999672174454,0.0754,0.062250001,0.08015
25,3,17,0.066,0.0885,0.064999998,0.085,0.065499999,0.08675
25,3,19,0.0845,0.1086,0.078000002,0.0914,0.081250001,0.1
25,3,21,0.091499999,0.1099,0.0845,0.1035,0.088,0.1067
25,3,23,0.092,0.1244,0.091499999,0.1097,0.09175,0.11705
25,3,25,0.10123000293970108,0.1374,0.094930001,0.1187,0.098080002,0.12805
25,3,27,0.10790999978780746,0.1464,0.1016250029206276,0.1253,0.104767501,0.13585
25,3,29,0.11599999666213989,0.1537,0.11349999904632568,0.1335,0.114749998,0.1436
25,3,31,0.1185000017285347,0.1572,0.11550000309944153,0.1351,0.117000002,0.14615
25,3,33,0.13449999690055847,0.1655,0.11949999630451202,0.1538,0.126999997,0.15965
25,3,35,0.1340000033378601,0.1772,0.13449999690055847,0.1534,0.13425,0.1653
25,3,37,0.14100000262260437,0.1784,0.14249999821186066,0.169,0.14175,0.1737
25,3,39,0.13650000095367432,0.1954,0.13449999690055847,0.1717,0.135499999,0.18355
25,3,41,0.14900000393390656,0.2058,0.14149999618530273,0.175,0.14525,0.1904
25,3,43,0.16750000417232513,0.2074,0.15000000596046448,0.1806,0.158750005,0.194
25,3,45,0.15649999678134918,0.211,0.164000005,0.1916,0.160250001,0.2013
25,3,47,0.1679999977350235,0.2212,0.14900000393390656,0.2073,0.158500001,0.21425
25,3,49,0.19599999487400055,0.2224,0.16899999976158142,0.2069,0.182499997,0.21465
25,3,50,0.19599999487400055,0.2263,0.17649999260902405,0.2055,0.186249994,0.2159
